authors,year,title,journal,DOI
"S. Lantin, K. McCourt, E. Larkin, N. Butcher, V. Puri, E. McLamore, M. Corrrell, A. Singh",2023,Scanning Plant IoT (SPOT) Facility for High-Throughput Plant Phenotyping,HardwareX (in press).,
"J.B. Carter, R. Huffaker, A. Singh, E.Z. Bean",2023,HUM: A review of hydrochemical analysis using ultraviolet-visible absorption spectroscopy and machine learning,Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2023.165826
"A. Singh, P. Townsend",2022,Influence of foliar traits,"watershed physiography, and nutrient subsidies on stream water quality in the Upper Midwestern United States. Frontiers in Environmental Science-Environmental Informatics and Remote Sensing",https://doi.org/10.3389/fenvs.2022.974206
"M. Arasumani, A. Singh, M. Bunyan, V.V. Robin",2021,Testing the efficacy of hyperspectral (AVIRIS-NG),multispectral (Sentinel-2) and radar (Sentinel-1) remote sensing images to detect native and invasive non-native trees. Biological Invasions. DOI: 10.1007/s10530-021-02543-2,
"B. Weinstein, S.J. Graves, S. Marconi, A. Singh, A. Zare, D. Stewart, S. A. Bohlman, E.P. White",2021,A benchmark dataset for canopy crown detection and delineation in co-registered airborne RGB,"LiDAR and hyperspectral imagery from the National Ecological Observation Network, PLOS Computational Biology",https://doi.org/10.1371/journal.pcbi.1009180
"P.A. Townsend, J.D. Clare, N. Liu, J.L. Stenglein, C. Anhalt-Depies, T.R. Van Deelen, N.A. Gilbert, A. Singh, K.J. Martin, B. Zuckerberg",2021,Snapshot Wisconsin: networking community scientists and remote sensing to improve ecological monitoring and management,Ecological Applications,https://doi.org/10.1002/eap.2436
"N. Liu, M. Garcia, A. Singh, J.D.J. Clare, J.L. Stenglein, B. Zuckerberg, E.L. Kruger, P.A. Townsend",2021,Trail camera networks provide insights into satellite-derived phenology for ecological studies,International Journal of Applied Earth Observation and Geoinformation. DOI: 10.1016/j.jag.2020.102291,
"B. Weinstein, S. Marconi, S.A. Bohlman, A. Zare, A. Singh, S.J. Graves, E.P. White",2021,A remote sensing derived data set of 100 million individual tree crowns for the National Ecological Observatory Network,eLife. DOI: 10.7554/eLife.62922.,
"J.E. Meireles, J. Cavender-Bares, P.A. Townsend, S.Ustin, J.A. Gamon, A.K. Schweiger, M.E. Schaepman, G.P. Asner, R.E. Martin, A. Singh, F. Schrodt, A. Chlus Brian C. O'Meara",2020,Leaf reflectance spectra capture the evolutionary history of seed plants,"New Phytologist, DOI: 10.1111/nph.16771.",
"R. Kolka, B.R. Sturtevant, J.R. Miesel, P. Wolter, S. Fraver, T.D. DeSutter, A. Singh, P.T. Wolter, S. Fraver, T.M. DeSutter, P.A. Townsend",2017,Emissions of Forest Floor and Mineral Soil Carbon,Nitrogen and Mercury Pools and Relationships with Fire Severity for the Pagami Creek Fire in the Boreal Forest of Northern Minnesota. International Journal of Wildland Fire. 26(4) 296-305. DOI:10.1071/WF16128,
"F. Lacasella, S. Marta, A. Singh, K. S. Whitney, K. Hamilton, P. Townsend, C.J. Kucharik, T.D. Meehan and C. Gratton",2017,From pest data to abundance-based risk maps combining eco-physiological knowledge,weather and habitat variability. Ecological Applications. 27(2) 575-588 DOI: 10.1002/eap.1467,
"S.P. Serbin, A. Singh, B.E. McNeil, C.C. Kingdon, P.A. Townsend",2015,Remotely estimating photosynthetic capacity,"and its response to temperature, in vegetation canopies using imaging spectroscopy. Remote Sensing of Environment. DOI:10.1016/j.rse.2015.05.024",
"M.E. Fagan, R.S. DeFries, S.E. Sesnie, J.P. Arroyo-Mora, C. Soto, A. Singh, P.A. Townsend, R.L. Chazdon",2015,Mapping species composition of forests and tree plantations in northeastern Costa Rica with an integration of hyperspectral and multitemporal Landsat imagery. Remote Sensing. 7(5),5660-5696; doi:10.3390/rs70505660,
"M.D. Madritch; C.C. Kingdon; A. Singh; K.E. Mock, R.L. Lindroth, P.A. Townsend",2014,Imaging spectroscopy links aspen genotype with below-ground processes at landscape scales. Philosophical transactions of the Royal Society of London. Series B,Biological sciences 369: 20130194.,
"L. Brottem, M.D. Turner, B. Butt, A. Singh",2014,Biophysical variability and pastoral rights to resources: West African transhumance revisited. Human Ecology,DOI:/10.1007/s10745-014-9640-1,
"P. A Townsend, A. Singh, J. R. Foster, N. J. Rehberg, C. C. Kingdon, K. N. Eshleman, S. W. Seagle",2012,A general Landsat model to predict canopy defoliation in broadleaf deciduous forests,Remote Sensing of the Environment 119:255-265.,
"P.T. Wolter, S.D. Peckham, E.A. Berkley, S.P. Serbin, A. Singh, M.B. Baker, P.A. Townsend",2011,Improved monitoring and modelling of snow cover using MODIS,"Remote Sensing of the Environment, 115, 1017-1032.",
"D. H. T. Shah, A. Singh, S. S. Talmale, R. A. Khan, M. Z. Islam",2010,Social organisation,"mating system and cooperative breeding in Indian Desert Gerbil, Meriones hurrianae. Journal of Arid Environments 74(12):1625-1630.",
"S. J. K. Frey, S. P. Serbin, A. Singh, D. S. Amanda, S. A. Wingfield, M. L. Hofmann, M. S. Davis",2010,Land use change,"water balance, and ecosystem services in the Prairie Pothole Region of the Dakotas, Ecological Modelling, 221(22): 2765-2779.",
"J. M. Pisciotta, E. H. Merrill, A. Singh, J. L. Wilkening, A. D. Afton",2010,Influence of bison and prescribed fire on vegetation and breeding birds in tallgrass prairie,"Biological Conservation, 143(2): 406-416.",
"P. T. Wolter, S. D. Peckham, E. A. Berkley, S. P. Serbin, A. Singh, M. B. Baker, P. A. Townsend",2009,An integrated high resolution land surface model and MODIS leaf area index data for quantifying the impact of forest disturbance on carbon and water cycling,"Environmental Modelling and Software, 24(2): 142-158.",
"D. R. Jensen, M. A. Ramsey, A. Singh, D. E. Wildt, A. M. Ellis-Felege, G. F. Birchard",2008,Microencapsulated spermatozoa for artificial insemination and the study of avian reproduction. Journal of the International Journal of Poultry Science,7(2): 161-165.,
